n3149521,世纪伪案“天安门自焚”真相
n3149766,任百鸣：江系官网攻击法轮功施压胡访美
n3150476,〈世纪伪案十年，中共喉舌再炒“自焚”煽仇〉读后
n3150995,邢天行：炒作自焚曝了谁的丑？
n3151557,陆振岩：真相传十年　民众识破自焚伪案
n3151561,何远村：中共在玩火“自焚”
n3151562,飞鸣：自焚伪案挡不住真相广传
n3151569,大陆人称“自焚”案是中共最大败笔
n3151595,唐子：再炒“自焚”，中共“裸奔”
n3151717,追查国际谈中共对自焚案再次炒作
n3151769,【新唐人直播】周二：  天安门自焚伪案深入分析
n3149437,追查国际关于天安门自焚伪案十年说明
n3153877,了然：这个人真稀奇，竟然具有两种声音三副面孔
n3154864,“天安门自焚”伪案深入分析(1)
n3155486,“天安门自焚”伪案深入分析(2)
n3155715,中共又一诬陷案真相：浙江乞丐杀人案
n3155980,“天安门自焚”伪案深入分析(3)
n3165175,白头翁：破绽百出自焚戏，翻新再曝中共丑
n3166596,【热点互动】央视剽窃美国大片以壮军力
n3574882,【热点互动】“四．二五”是否与您有关？(1)
n3574960,【热点互动】“四．二五”是否与您有关？(2)
n3575654,【热点互动】“四．二五”是否与您有关？(3)
n3600691,震撼超级技术贴  人人都可揭中共本世纪最大骗案
n3613031,北京交警：天安门广场自焚是政府安排的
n3676026,老警察讲的笑话让人想哭
n3682320,亲身经历让我看穿“自焚”假案
n3719192,【郑欣然】“坑爹”演戏的背后
n3876422,横河：法轮功怎样走向世界
n3883877,公安部高官透露“天安门自焚”内幕
n4054841,归宇斌：由陈光标纽约行骗回想12岁的刘思影被谋杀一案
n4056412,夏天官：陈光标想把江泽民血债帮推上黄泉路？
n4056422,黄天辰：“中国精神病领袖”头衔归陈光标吗？
n4058097,【夏小强】陈光标带到纽约的第三个“烧伤女人”是谁？
n4197248,世纪伪案“天安门自焚”再发现新线索
n4209216,立鉴：真假自焚
n4342454,归宇斌：卖拐配合天安门伪火  赵本山穷途末路
n4349946,【历史今日】14年前天安门自焚世纪伪案 主犯遭报
n7467574,天安门现场执勤兵目击世纪自焚伪案制造过程
n7520190,大陆省级610人员目击天安门自焚案造假现场
n7537465,镇楼之宝被中共拆除后 天安门异象频现
n7544340,大陆律师在法庭上揭穿“天安门自焚”伪案
n8777089,法拉盛“退党点”12年 几十万中国人退党团队
n9078641,从同情到敬佩 大陆律师眼中的法轮功
n9341394,你不了解的“天安门自焚”骗局
n9341848,“天安门自焚”伪案十一大疑点
n9908186,从红黄蓝真相被掩盖看中共栽赃法轮功
n10449978,新疆公安局长被通知现场看天安门“自焚”
n10558434,公安大学副教授赴美出丑 再曝中共自焚骗局
n10554707,帮你看清“天安门自焚”伪案的十个点
n10668272,从山东辽宁升级诬蔑法轮功看中共造假历史
n10684053,从长春长生假疫苗看“中国特色”式造假
n10843569,中共知名媒体人的今日和往昔
n10845276,这些前中共媒体人的见证
n10996556,十八年前天安门伪火 自焚者是什么人？
n10997098,天安门自焚 公安局长军人610官员道实情
n10996660,“烧”了18年的天安门伪火 迫害难以为继
n11002664,纪录片《欺世伪火》揭自焚案内幕
n11006067,聋哑人说话 中共地方官媒编造假新闻
n11130142,为污蔑人权律师王宇 央视剪掉了什么画面？
n11140275,从江苏大爆炸 看央视炮制中共“自焚”骗局
n11813238,十九年前的“伪火”不攻自破的世纪谎言
n11955770,除了中共肺炎 中共还在哪些问题上撒谎（1）
n12097460,穿越时空  一位美国华人教授的神奇经历
n12150901,武汉封城日 19年前同一天中国出大事
n12169074,王友群：江泽民迫害法轮功的十大罪恶
n12187315,对中共失望 大陆民众声明退党
n12261878,越南藏尸案 律师受访证实中共抹黑法轮功
n12264411,外媒：越南藏尸案 中共假新闻中伤法轮功
n12297484,代表14亿被监控的人说话 中共谎言知多少
n12306396,恐惧真相插播 中共设10万奖金“举报”
n12362336,TikTok审查法轮功信息 主流媒体曝光
n12707932,20年前 一位加国华人在上海劳教所的经历
n12724108,杨宁：嫉妒小人江泽民 炮制世纪伪案
n12738166,青海电视插播 张荣娟20年冤狱又加刑2年
n12975419,中共前610头子罗干被举报给38国
n12985072,一位中国女子直面中共警察的传奇（上）
n12989706,一位中国女子直面中共警察的传奇（下）
n13073780,栽赃法轮功 亲共团伙穿黑衣藏界刀高调被捕
n13156138,两位中国女子在美国的人生交集
n13172289,原中国护士指证 天安门自焚案是造假
n13183270,中共为何制造“天安门自焚案”
n13190600,自焚伪案后 法轮功学员被迫害致死案例剧增
n13226831,中共1400例伪案是如何出炉的（5）
n13781971,界立建盛赞法轮功 控诉中共活摘器官暴行
n13781542,专家分析中共谎言：纂改历史和教科书
